Category,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(g),Iron_(g),Magnesium_(g),Phosphorus_(g),Potassium_(g),Sodium_(g),Zinc_(g),Copper_g),Manganese_(g),Selenium_(g),Vit_C_(g),Thiamin_(g),Riboflavin_(g),Niacin_(g),Panto_Acid_g),Vit_B6_(g),Folate_Tot_(g),Folic_Acid_(g),Food_Folate_(g),Folate_DFE_(g),Choline_Tot_ (g),Vit_B12_(g),Retinol_(g),Alpha_Carot_(g),Beta_Carot_(g),Beta_Crypt_(g),Lycopene_(g),Lut+Zea_ (g),Vit_E_(g),Vit_D_g,Vit_K_(g),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(g),Vit_A_(g)
"LITTLE CAESARS 14"" CHS PIZZA",43.055,286,14.43,13.605,2.445,26.475,1.45,3.21,0.323,0.001475,0.0275,0.259,0.1685,0.4435,0.00182,9.90E-05,2.61E-04,2.90E-05,0,2.90E-04,2.29E-04,0.0019085,4.98E-04,0,0,0,0,0,0,5.70E-07,9.35E-05,0,0,0,0,0,0.00101,0,8.20E-06,5.782,3.5885,2.4445,0.031,1.31E-04
"LITTLE CAESARS 14"" ORIGINAL RND CHS PIZZA",43.39,265,13.39,9.54,2.18,31.5,1.7,4.02,0.233,0.00234,0.028,0.231,0.17,0.454,0.00161,1.26E-04,3.21E-04,3.14E-05,0,3.77E-04,2.97E-04,0.003237,4.47E-04,0,0,0,0,0,0,4.00E-07,7.20E-05,0,0,0,0,0,6.10E-04,0,5.90E-06,4.206,2.38,1.461,0.024,1.08E-04
"LITTLE CAESARS 14"" ORIGINAL RND MEAT & VEG PIZZA",51.1,243,12.12,11.35,2.32,23.1,2.1,3.74,0.167,0.00211,0.024,0.207,0.195,0.578,0.00155,1.42E-04,2.65E-04,2.71E-05,0,2.86E-04,2.63E-04,0.003567,5.73E-04,0,0,0,0,0,0,6.10E-07,4.60E-05,0,0,0,0,0,9.00E-04,0,5.70E-06,4.561,4.063,1.72,0.031,6.33E-05
"LITTLE CAESARS 14"" ORIGINAL RND PEPPERONI PIZZA",42.57,273,13.59,10.5,2.33,31.01,1.7,3.76,0.21,0.00234,0.028,0.224,0.178,0.518,0.00166,1.25E-04,3.38E-04,3.20E-05,0,3.38E-04,3.11E-04,0.003737,5.30E-04,0,0,0,0,0,0,5.20E-07,6.50E-05,0,0,0,0,0,7.60E-04,0,5.90E-06,4.541,3.108,1.603,0.028,9.93E-05
"LITTLE CAESARS 14"" PEPPERONI PIZZA",44.98,265,12.93,10.81,2.25,29.03,1.5,3.39,0.201,0.0023,0.027,0.215,0.173,0.492,0.00157,1.21E-04,3.16E-04,3.09E-05,0,3.73E-04,2.80E-04,0.003767,4.83E-04,0,0,0,0,0,0,4.60E-07,5.90E-05,0,0,0,0,0,8.10E-04,0,7.10E-06,4.314,3.151,1.756,0.026,9.45E-05
LIVER CHEESE,53.6,304,15.2,25.6,3.5,2.1,0,0,0.008,0.01083,0.012,0.207,0.226,1.225,0.0037,3.83E-04,2.00E-04,3.65E-05,0.003,2.12E-04,0.002227,0.011768,0.003536,4.70E-04,1.04E-04,0,1.04E-04,1.04E-04,0,2.46E-05,0.005252,0,0,0,0,0,0,0,0,8.96,12.26,3.42,0.174,0.005247
LIVER SAUSAGE,52.1,326,14.1,28.5,3.1,2.2,0,0,0.026,0.0064,0.012,0.23,0.17,0.86,0.0023,2.40E-04,1.55E-04,5.80E-05,0,2.72E-04,0.00103,0.0043,0.00295,1.90E-04,3.00E-05,0,3.00E-05,3.00E-05,0,1.35E-05,0.008308,0,0,0,0,0,0,0,0,10.6,13.34,2.6,0.158,0.0083001
LOBSTER,79.53,83,17.76,0.805,2.01,0,0,0,0.09,2.75E-04,0.0405,0.173,0.215,0.4545,0.00379,0.0014495,6.05E-05,6.84E-05,0,2.15E-05,1.55E-05,0.0017105,0.001558,1.11E-04,1.05E-05,0,1.05E-05,1.05E-05,0.0756,1.34E-06,1.00E-06,0,0,0,0,0,9.35E-04,0,0,0.1945,0.2365,0.318,0.1365,1.20E-06
LOGANBERRIES,84.61,55,1.52,0.31,0.54,13.02,5.3,7.7,0.026,6.40E-04,0.021,0.026,0.145,0.001,3.40E-04,1.17E-04,0.001247,2.00E-07,0.0153,5.00E-05,3.40E-05,8.40E-04,2.44E-04,6.50E-05,2.60E-05,0,2.60E-05,2.60E-05,0.0085,0,0,0,2.10E-05,0,0,1.18E-04,8.70E-04,0,7.80E-06,0.011,0.03,0.176,0,1.05E-05
LOMA LINDA BIG FRANKS,59.1,218,21.5,12.1,1.6,5.8,3.5,0.4,0.017,0.0025,0,0.142,0.116,0.426,0.0023,0,0,0,0,6.00E-04,0.001,0.0148,0.0031,0.0014,0,0,0,0,0,1.31E-05,0,0,0,0,0,0,0,0,0,1.6,3.1,7.4,0,0
LOMA LINDA LINKETTS,61.2,209,21.3,11.8,1.4,4.4,3,0.3,0.011,0.0018,0,0.114,0.064,0.401,0.0015,0,0,0,0,4.00E-04,7.00E-04,0.0095,0.002,4.00E-04,0,0,0,0,0,2.90E-06,0,0,0,0,0,0,0,0,0,1.6,2.9,7,0,0
LOMA LINDA LITTLE LINKS,60,221,19.4,13.5,1.6,5.5,4.2,0.8,0.019,0.0015,0,0.103,0.056,0.472,0.0015,0,0,0,0,0.001,0.0014,0.0156,0.0022,0.0011,0,0,0,0,0,3.30E-06,0,0,0,0,0,0,0,0,0,2,3.5,7.7,0,0
LOMA LINDA LOFAT BIG FRANKS,65.6,154,23.1,4.7,1.7,4.9,4.1,0.3,0.017,0.0023,0,0.137,0.1,0.481,0.0025,0,0,0,0,4.00E-04,8.00E-04,0.0078,8.00E-04,1.00E-04,0,0,0,0,0,2.40E-06,0,0,0,0,0,0,0,0,0,0.5,1.1,3.1,0,0
LOMA LINDA REDI-BURGER,64.8,146,21.9,2.8,1.9,8.2,4.3,1.2,0.017,0.02,0,0.159,0.17,0.508,0.0017,0,0,0,0,3.00E-04,5.00E-04,0.0051,0.0017,5.00E-04,0,0,0,0,0,1.60E-06,0,0,0,0,0,0,0,0,0,0.4,0.6,1.8,0,0
LOMA LINDA SWISS STAKE W/ GRAVY,70.9,138,10.2,6.2,2,10.4,3.2,0.9,0.035,0.0018,0,0.14,0.226,0.471,7.00E-04,0,0,0,0,0.0013,9.00E-04,0.0154,0.0012,0.0011,0,0,0,0,0,7.30E-06,0,0,0,0,0,0,0,0,0,0.8,1.6,3.7,0.001,0
LOMA LINDA TENDER BITS,70,135,15.1,4.6,2,8.3,4.3,0.6,0.017,0.0016,0,0.088,0.065,0.613,0.001,0,0,0,0,5.00E-04,6.00E-04,0.0066,0.0018,1.00E-04,0,0,0,0,0,1.00E-07,0,0,0,0,0,0,0,0,0,0.7,1.1,2.6,0,0
LOMA LINDA TENDER ROUNDS W/ GRAVY,69.1,145,16.3,5.6,1.6,7.4,3.5,1,0.014,0.0015,0,0.103,0.095,0.443,8.00E-04,0,0,0,0,0.001,5.00E-04,5.00E-04,5.00E-04,2.00E-04,0,0,0,0,0,2.20E-06,0,0,0,0,0,0,0,0,0,0.7,1.3,2.3,0.001,0
LOMA LINDA VEGE-BURGER,72,114,22.2,1.2,0.9,3.7,2.6,0.8,0.016,0.0017,0,0.08,0.074,0.222,0.0013,0,0,0,0,2.00E-04,5.00E-04,0.0099,0.0018,6.00E-04,0,0,0,0,0,6.60E-06,0,0,0,0,0,0,0,0,0,0.2,0.2,0.8,0,0
LONGANS,50.175,173,3.105,0.25,1.9,44.57,1.1,0,0.023,0.002765,0.028,0.1085,0.462,0.024,1.35E-04,4.88E-04,1.50E-04,0,0.056,3.55E-05,3.20E-04,6.50E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOQUATS,86.73,47,0.43,0.2,0.5,12.14,1.7,0,0.016,2.80E-04,0.013,0.027,0.266,0.001,5.00E-05,4.00E-05,1.48E-04,6.00E-07,0.001,1.90E-05,2.40E-05,1.80E-04,0,1.00E-04,1.40E-05,0,1.40E-05,1.40E-05,0,0,0,0,0,0,0,0,0,0,0,0.04,0.008,0.091,0,4.58E-04
LOTUS ROOT,81.42,66,1.58,0.07,0.91,16.02,3.1,0.5,0.026,9.00E-04,0.022,0.078,0.363,0.045,3.30E-04,2.17E-04,2.20E-04,6.00E-07,0.0274,1.27E-04,1.00E-05,3.00E-04,3.02E-04,2.18E-04,8.00E-06,0,8.00E-06,8.00E-06,0.0254,0,0,0,0,0,0,0,1.00E-05,0,1.00E-07,0.021,0.014,0.014,0,0
LOTUS SEEDS,45.58,210.5,9.77,1.25,2.53,40.875,0,0,0.1035,0.00224,0.133,0.397,0.8675,0.003,6.65E-04,2.22E-04,0.0014695,0,0,4.06E-04,9.50E-05,0.0010145,5.39E-04,3.99E-04,6.60E-05,0,6.60E-05,6.60E-05,0,0,0,0,0,0,0,0,0,0,0,0.209,0.246,0.739,0,9.45E-06
LUNCHEON MEAT,53.6,304,12.95,25.85,3.65,2.75,0,0,0.003,6.80E-04,0.014,0.109,0.435,1.1625,0.001855,4.85E-05,2.40E-05,2.60E-05,0.01975,2.90E-04,1.87E-04,0.0033125,4.73E-04,2.51E-04,4.00E-06,0,4.00E-06,4.00E-06,0.06305,6.10E-07,0,0,0,0,0,0,2.50E-04,6.00E-07,0,9.43,12.9225,2.3425,0.073,0
LUNCHEON SAUSAGE,58.62,260,15.38,20.9,3.52,1.58,0,0,0.013,0.00143,0.014,0.122,0.245,1.182,0.00245,8.00E-05,4.20E-05,1.54E-05,0,2.17E-04,1.95E-04,0.003527,3.70E-04,2.00E-04,3.00E-06,0,3.00E-06,3.00E-06,0,1.96E-06,0,0,0,0,0,0,0,0,0,7.62,9.93,2.05,0.064,0
LUNCHEON SLICES,65.01,189,17.78,11.11,1.66,4.44,1.1,2.22,0.041,0.0018,0.023,0.442,0.2,0.711,0.0016,9.08E-04,0,7.40E-06,0,0.004,3.02E-04,0.01111,0,8.89E-04,1.00E-04,0,1.00E-04,1.00E-04,0.1053,4.00E-06,0,0,0,0,0,0,0.003,0,0,1.338,2.055,4.383,0,0
LUPINS,71.08,119,15.57,2.92,1.14,9.88,2.8,0,0.051,0.0012,0.054,0.128,0.245,0.015,0.00138,2.31E-04,6.76E-04,2.60E-06,0.0011,1.34E-04,5.30E-05,4.95E-04,1.88E-04,9.00E-06,5.90E-05,0,5.90E-05,5.90E-05,0,0,0,0,0,0,0,0,0,0,0,0.346,1.18,0.73,0,0
LUXURY LOAF,68.2,141,18.4,4.8,3.6,4.9,0,0,0.036,0.00105,0.02,0.185,0.377,1.225,0.00305,1.00E-04,4.10E-05,2.15E-05,0,7.07E-04,2.97E-04,0.003482,5.15E-04,3.10E-04,2.00E-06,0,2.00E-06,2.00E-06,0,1.37E-06,0,0,0,0,0,0,0,7.00E-07,0,1.58,2.33,0.51,0.036,0
MAC & CHS,61.6,190,4.89,8.28,1.3,23.93,1.2,4.27,0.063,9.90E-04,0.017,0.112,0.129,0.338,4.70E-04,7.40E-05,2.36E-04,1.25E-05,0,1.77E-04,1.78E-04,0.001183,4.32E-04,6.10E-05,7.00E-05,6.30E-05,6.00E-06,1.14E-04,0.0269,1.60E-07,0,0,0,0,0,0,0,0,6.40E-06,1.816,3.687,1.88,0.003,0
MACADAMIA NUTS,1.61,718,7.79,76.08,1.14,13.38,8,4.14,0.07,0.00265,0.118,0.198,0.363,0.005,0.00129,5.70E-04,0.003036,1.17E-05,7.00E-04,7.10E-04,8.70E-05,0.002274,6.03E-04,3.59E-04,1.00E-05,0,1.00E-05,1.00E-05,0.0446,0,0,0,0,0,0,0,5.70E-04,0,0,11.947,59.275,1.498,0,0
MACARONI,39.13,247.5,8.835,0.575,0.715,50.745,4.3,1.15,0.0225,0.002385,0.0325,0.083,0.158,0.0245,6.00E-04,1.46E-04,0.002416,1.98E-05,0,5.72E-04,2.93E-04,0.0041995,5.51E-04,7.65E-05,1.72E-04,1.60E-04,1.15E-05,2.83E-04,0.005,0,0,0,5.50E-05,0,2.45E-04,1.30E-05,2.10E-04,0,3.00E-07,0.083,0.066,0.235,0,3.78E-05
MACARONI & CHS,69.39,149,5.98,5.99,1.31,17.28,1.1,1.53,0.085,9.10E-04,0.015,0.119,0.084,0.335,6.50E-04,1.63E-04,2.24E-04,1.50E-05,0,1.01E-04,1.14E-04,0.00115,2.59E-04,3.70E-05,1.30E-05,1.10E-05,7.00E-06,2.10E-05,0.0083,1.50E-07,1.95E-05,0,1.40E-05,0,0,4.00E-06,3.95E-04,0,5.10E-06,1.636,1.773,1.044,0.008,2.05E-05
MACARONI & CHS DINNER W/ DRY SAU MIX,8.05,379,13.86,4.82,3.15,70.12,3.2,9.61,0.146,0.00275,0.049,0.331,0.347,0.68,0.00123,1.93E-04,6.96E-04,4.75E-05,7.00E-04,0.00104,6.26E-04,0.003882,0.001252,1.42E-04,2.04E-04,1.87E-04,1.70E-05,3.34E-04,0.036,7.70E-07,1.70E-05,0,5.00E-06,0,0,1.50E-05,1.30E-04,0,2.00E-07,1.151,0.665,0.813,0.007,1.98E-05
MACARONI OR NOODLES W/ CHS,17.865,342.5,12.29,5.295,3.15,61.405,1.8,6.62,0.265,0.002085,0.042,0.3655,0.2755,0.8845,0.001285,1.81E-04,0,4.28E-05,0,7.90E-04,5.05E-04,0.004,0,1.30E-04,1.71E-04,1.55E-04,1.60E-05,2.79E-04,0.0307,5.85E-07,6.40E-05,0,5.00E-06,5.00E-07,0,1.10E-05,3.45E-04,0,1.20E-06,1.6115,1.958,1.553,0.0115,6.56E-05
MACE,8.17,475,6.71,32.38,2.23,50.5,20.2,0,0.252,0.0139,0.163,0.11,0.463,0.08,0.0023,0.002467,0.0015,2.70E-06,0.021,3.12E-04,4.48E-04,0.00135,0,1.60E-04,7.60E-05,0,7.60E-05,7.60E-05,0,0,0,0,0,0,0,0,0,0,0,9.51,11.17,4.39,0,2.40E-04
MACKEREL,68.75,158,21.735,7.105,1.575,0,0,0,0.026,0.00153,0.0375,0.251,0.4405,0.1,6.95E-04,8.30E-05,1.50E-05,4.24E-05,0.0016,1.23E-04,3.62E-04,0.007585,8.39E-04,4.05E-04,2.00E-06,0,2.00E-06,2.00E-06,0.07525,7.86E-06,4.85E-05,0,0,0,0,0,0.00114,1.03E-05,1.00E-07,2.052,2.427,1.8725,0.0715,4.86E-05
MALABAR SPINACH,92.5,23,2.98,0.78,1.04,2.71,2.1,0,0.124,0.00148,0.048,0.036,0.256,0.055,3.00E-04,1.11E-04,2.55E-04,9.00E-07,0.0059,1.06E-04,1.29E-04,7.87E-04,1.35E-04,8.60E-05,1.14E-04,0,1.14E-04,1.14E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.47E-04
MALT BEV,91.15,37,0.21,0.12,0.12,8.05,0,8.05,0.007,6.00E-05,0.007,0.016,0.008,0.013,2.00E-05,8.00E-06,1.30E-05,1.20E-06,5.00E-04,1.60E-05,4.80E-05,0.001113,3.70E-05,2.70E-05,1.40E-05,0,1.40E-05,1.40E-05,0.0101,2.00E-08,0,0,0,0,0,0,0,0,0,0.024,0.015,0.056,0,6.00E-07
MAMMY-APPLE,86.2,51,0.5,0.5,0.3,12.5,3,0,0.011,7.00E-04,0.016,0.011,0.047,0.015,1.00E-04,8.60E-05,0,6.00E-07,0.014,2.00E-05,4.00E-05,4.00E-04,1.03E-04,1.00E-04,1.40E-05,0,1.40E-05,1.40E-05,0,0,0,0,0,0,0,0,0,0,0,0.136,0.205,0.079,0,6.90E-05
MANGO,16.6,319,2.45,1.18,1.19,78.58,2.4,66.27,0,2.30E-04,0.02,0.05,0.279,0.162,3.00E-04,3.00E-04,0.01,2.10E-06,0.0423,6.20E-05,8.50E-05,0.002,0,3.34E-04,6.80E-05,0,6.80E-05,6.80E-05,0.0237,0,0,1.10E-05,7.86E-04,2.90E-05,0,5.20E-05,0.00402,0,1.32E-05,0.287,0.439,0.222,0,4.03E-04
MANGO NECTAR,86.63,51,0.11,0.06,0.08,13.12,0.3,12.45,0.017,3.60E-04,0.003,0.002,0.024,0.005,2.00E-05,1.50E-05,2.80E-05,4.00E-07,0.0152,3.00E-06,3.00E-06,8.00E-05,7.00E-05,1.50E-05,7.00E-06,0,7.00E-06,7.00E-06,0.0015,0,0,0,4.02E-04,2.60E-05,0,0,2.10E-04,0,8.00E-07,0.014,0.022,0.011,0,2.08E-04
MANGOS,83.46,60,0.82,0.38,0.36,14.98,1.6,13.66,0.011,1.60E-04,0.01,0.014,0.168,0.001,9.00E-05,1.11E-04,6.30E-05,6.00E-07,0.0364,2.80E-05,3.80E-05,6.69E-04,1.97E-04,1.19E-04,4.30E-05,0,4.30E-05,4.30E-05,0.0076,0,0,9.00E-06,6.40E-04,1.00E-05,3.00E-06,2.30E-05,9.00E-04,0,4.20E-06,0.092,0.14,0.071,0,3.25E-04
MANGOSTEEN,80.94,73,0.41,0.58,0.16,17.91,1.8,0,0.012,3.00E-04,0.013,0.008,0.048,0.007,2.10E-04,6.90E-05,1.02E-04,0,0.0029,5.40E-05,5.40E-05,2.86E-04,3.20E-05,1.80E-05,3.10E-05,0,3.10E-05,3.10E-05,0,0,0,1.00E-06,1.60E-05,9.00E-06,0,0,0,0,0,0,0,0,0,1.05E-05
MARASCHINO CHERRIES,57.27,165,0.22,0.21,0.34,41.97,3.2,38.77,0.054,4.30E-04,0.004,0.003,0.021,0.004,2.60E-04,1.43E-04,1.20E-05,2.00E-07,0,0,0,4.00E-06,5.40E-05,5.00E-06,0,0,0,0,0.0043,0,0,0,2.70E-05,0,0,5.90E-05,5.00E-05,0,1.50E-06,0.039,0.049,0.055,0,1.35E-05
MARGARINE,16.52,715.5,0.2,80.26,1.92,0.705,0,0,0.003,6.00E-05,0.0025,0.005,0.018,0.6785,0,0,0,0,2.00E-04,1.00E-05,3.10E-05,2.30E-05,4.25E-05,6.00E-06,1.00E-06,0,1.00E-06,1.00E-06,0.0124,1.00E-07,7.68E-04,0,6.10E-04,0,0,0,0.009,0,9.24E-05,15.189,38.877,24.302,0,0.0010731
MARGARINE SPRD,49.66,424,0.2,47.53,1.75,0.86,0,0,0.004,2.10E-04,0.001,0.004,0.036,0.646,6.00E-05,8.00E-06,0,0,0,0,1.90E-05,0,1.00E-06,1.00E-06,2.00E-06,0,2.00E-06,2.00E-06,0,0,0,0,0,0,0,0,0.00394,0,1.01E-04,8.792,16.416,20.235,0.001,0
MARGARINE-LIKE,42.34,488,0.24,51,1.765,0.815,0,0,0.021,1.50E-05,0.002,0.016,0.03,0.6575,5.00E-06,1.00E-06,0,0,1.00E-04,8.00E-06,2.60E-05,1.80E-05,4.10E-05,7.50E-06,1.00E-06,0,1.00E-06,1.00E-06,0.0124,7.00E-08,7.68E-04,0,6.10E-04,0,0,0,0.005,0,7.87E-05,9.196,18.893,14.6455,5.00E-04,0.0010713
MARGARINE-LIKE SHORTENING,28,628,0,71,1,0,0,0,0,0,0,0,0,0.864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00613,0,4.30E-05,22.869,37.243,7.512,0,0
MARGARINE-LIKE SPRD,56.81,347,0.01,37.56,1.78,1.07,0,0,0.0035,0,0.001,0.0025,0.027,0.6995,0,0,0,0,0,6.00E-06,0,0,0,0,0,0,0,0,0,0,0.00139,0,0,0,0,0,0.013765,0,4.96E-05,7.4285,16.3155,10.7995,0,0.0014592
MARGARINE-LIKE SPRD W/ YOGURT,43.5,480,1.15,52.5,2,1.25,0,0,0.035,1.50E-05,0.0035,0.0275,0.0445,0.61,1.70E-04,3.00E-06,0,5.00E-07,1.50E-04,7.50E-06,4.00E-05,2.00E-05,0,3.00E-05,2.00E-06,0,2.00E-06,2.00E-06,0.0124,1.05E-07,7.68E-04,0,6.10E-04,0,0,0,0.005,0,9.30E-05,10.15,24.85,15.4,0,0.0010731
MARJORAM,7.64,271,12.66,7.04,12.1,60.56,40.3,4.09,1.99,0.08271,0.346,0.306,1.522,0.077,0.0036,0.001133,0.005433,4.50E-06,0.0514,2.89E-04,3.16E-04,0.00412,0,0.00119,2.74E-04,0,2.74E-04,2.74E-04,0.0436,0,0,0,0.004806,7.00E-05,0,0.001895,0.00169,0,6.22E-04,0.529,0.94,4.405,0,0.0024204
MARMALADE,33.2,246,0.3,0,0.2,66.3,0.7,60,0.038,1.50E-04,0.002,0.004,0.037,0.056,4.00E-05,9.00E-05,2.00E-05,6.00E-07,0.0048,5.00E-06,2.50E-05,5.20E-05,1.50E-05,1.90E-05,9.00E-06,0,9.00E-06,9.00E-06,0.003,0,0,5.00E-06,1.50E-05,3.80E-05,0,5.80E-05,6.00E-05,0,0,0,0,0,0,1.86E-05
MARTHA WHITE FOODS,7,397.5,6.115,9.695,5.695,71.495,2.2,29.61,0.0925,0.003935,0,0,0.1315,0.876,5.80E-04,0,0,0,1.00E-04,3.45E-04,2.55E-04,0.0028,0,1.00E-05,4.90E-05,0,4.90E-05,0,0,8.00E-08,0,0,0,0,0,0,0,0,0,2.885,0,0,0.0015,1.05E-06
MARY'S GONE CRACKERS,4.29,446,12.06,15.63,3.73,64.29,16.2,1,0.223,0.00317,0.198,0.422,0.477,0.587,0.00295,6.44E-04,0.00252,1.97E-05,0,2.10E-04,2.20E-04,0.00539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MASHU ROOTS,67.8,135,5.8,2.4,1.4,22.6,0,0,0,0,0,0.067,0,0,0,0,0,0,0.011,1.00E-04,7.00E-05,0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80E-06
MAYONNAISE,56.955,327.5,0.635,32.545,2.46,4.88,0,2.525,0,0,0.001,0.0075,0.0485,0.753,9.00E-05,9.50E-06,7.00E-06,1.60E-06,0,4.00E-06,5.00E-06,5.00E-06,9.10E-05,1.00E-06,0,0,0,0,0.00875,3.00E-08,0,0,1.15E-05,1.50E-06,0,1.05E-05,0.004415,0,3.90E-05,3.959,6.4765,13.595,0.012,6.45E-06
MAYONNAISE DRSNG,21.7,688,0,77.8,0.4,0.3,0,0.3,0.007,2.30E-04,0.001,0.025,0.014,0.486,1.30E-04,0,0,1.60E-06,0,1.00E-05,6.00E-05,1.00E-05,0,1.00E-05,0,0,0,0,7.00E-04,0,0,0,0,0,0,0,0.01179,0,2.47E-05,10.784,18.026,45.539,0,0
MCDONALD'S,50.34,257,10.28,11.76,2.18,24.52,1.15,4.99,0.084,0.00142,0.0175,0.134,0.181,0.494,5.80E-04,7.30E-05,1.74E-04,5.25E-06,6.00E-04,1.72E-04,2.00E-04,0.002273,5.90E-04,9.30E-05,4.50E-05,0,2.00E-06,0,0.0398,3.40E-07,6.00E-06,0,1.00E-06,0,0,2.20E-05,7.00E-04,0,1.04E-05,3.333,3.719,2.457,0.029,7.07E-05
MCKEE BAKING,3,548,8,32.8,1,55.2,0,34,0,0,0,0,0,0.223,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0
MEAT DRIPPINGS (LARD,0,889,0,98.59,1.4,0,0,0,0,0,0,0,0,0.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0,0,0,0,0,0,0,5.90E-04,2.50E-06,0,44.79,41.77,7.56,0.101,0
MEATBALLS,55.835,241.5,17.7,15.605,3.32,8.03,3.45,2.36,0.0525,0.001965,0.0245,0.2915,0.238,0.608,0.00173,4.15E-04,2.82E-04,8.05E-06,0,5.37E-04,2.22E-04,0.002804,7.12E-04,2.01E-04,5.70E-05,0,5.70E-05,5.70E-05,0.0668,1.25E-06,1.10E-05,0,0,0,0,0,0.001075,5.00E-08,4.10E-06,4.526,5.688,4.006,0.033,1.10E-05
MELON,94.66,21,0.84,0.2,0.24,4.06,0.3,3.36,0.013,2.10E-04,0.01,0.009,0.14,0.011,1.40E-04,3.50E-05,3.60E-05,4.00E-07,0.0081,2.00E-05,1.80E-05,4.60E-04,7.00E-05,5.00E-05,2.00E-05,0,2.00E-05,0,0,0,0,0,0,0,0,0,0,0,4.90E-06,0,0,0,0,0
MELON BALLS,90.26,33,0.84,0.25,0.71,7.94,0.7,0,0.01,2.90E-04,0.014,0.012,0.28,0.031,1.70E-04,6.00E-05,4.00E-05,0,0.0062,1.66E-04,2.20E-05,6.40E-04,1.63E-04,1.06E-04,2.60E-05,0,2.60E-05,2.60E-05,0,0,0,0,0,0,0,0,0,0,0,0.064,0.006,0.098,0,5.32E-04
MELONS,90.15,34,0.84,0.14,0.41,8.16,0.9,7.86,0.009,2.10E-04,0.011,0.011,0.228,0.016,9.00E-05,4.10E-05,3.50E-05,4.00E-07,0.0218,3.80E-05,1.90E-05,4.18E-04,1.05E-04,8.80E-05,1.90E-05,0,1.90E-05,1.90E-05,0.0076,0,0,0,3.00E-05,0,0,2.60E-05,5.00E-05,0,2.50E-06,0.038,0.003,0.059,0,1.50E-05
MILK,87.5,63,3.48,1.98,0.81,5.49,0,6.78,0.129,6.00E-05,0.014,0.101,0.172,0.059,4.20E-04,1.60E-05,6.00E-06,2.50E-06,0.001,4.50E-05,1.85E-04,1.01E-04,3.73E-04,4.50E-05,5.00E-06,0,5.00E-06,5.00E-06,0.0168,3.90E-07,5.50E-05,0,4.00E-06,0,0,0,4.00E-05,1.10E-06,2.00E-07,1.204,0.555,0.073,0.008,5.76E-05
MILK DSSRT,56,167,4.3,1,0.9,37.7,0,37.7,0.154,4.00E-05,0.045,0.123,0.333,0.097,4.70E-04,8.00E-06,0,2.60E-06,7.00E-04,5.00E-05,2.60E-04,1.00E-04,0,4.00E-05,6.00E-06,0,6.00E-06,6.00E-06,9.00E-04,5.50E-07,0,0,1.80E-05,0,0,0,0,0,0,0.597,0.329,0.03,0,9.00E-06
MILK DSSRT BAR,61.43,147,4.41,1.47,0.69,33.09,6.6,22.06,0.184,5.30E-04,0.02,0.083,0.316,0.092,4.30E-04,1.03E-04,0,2.20E-06,9.00E-04,2.30E-05,1.29E-04,1.26E-04,0,2.30E-05,4.00E-06,0,4.00E-06,4.00E-06,0.0196,1.40E-07,6.00E-05,0,1.35E-04,0,0,1.00E-06,2.00E-04,1.00E-07,6.00E-07,0.81,0.462,0.052,0.007,1.27E-04
MILK SHAKES,73.325,115.5,3.455,2.865,0.905,19.45,0.15,19.3,0.139,2.05E-04,0.014,0.1205,0.2035,0.103,4.35E-04,5.80E-05,2.65E-05,2.10E-06,0,3.85E-05,2.09E-04,1.35E-04,3.66E-04,3.35E-05,6.00E-06,0,6.00E-06,6.00E-06,0.01565,4.20E-07,2.15E-05,0,4.50E-06,0,0,0,5.00E-05,1.10E-06,2.00E-07,1.7835,0.8275,0.1065,0.0115,2.37E-05
MILK SUBSTITUTES,88.18,61,1.75,3.41,0.5,6.16,0,0,0.033,3.90E-04,0.006,0.074,0.114,0.078,0.00118,5.10E-05,9.70E-05,1.90E-06,0,1.20E-05,8.80E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.037,0.176,0.008,0,0
MILKFISH,66.74,169,23.425,7.68,1.3,0,0,0,0.058,3.65E-04,0.034,0.185,0.333,0.082,9.35E-04,3.90E-05,2.30E-05,1.44E-05,0,1.45E-05,6.15E-05,0.007348,8.08E-04,4.56E-04,1.70E-05,0,1.70E-05,1.70E-05,0,3.34E-06,3.15E-05,0,0,0,0,0,0,0,0,1.66,2.58,1.84,0.0595,3.13E-05
