Category,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(g),Iron_(g),Magnesium_(g),Phosphorus_(g),Potassium_(g),Sodium_(g),Zinc_(g),Copper_g),Manganese_(g),Selenium_(g),Vit_C_(g),Thiamin_(g),Riboflavin_(g),Niacin_(g),Panto_Acid_g),Vit_B6_(g),Folate_Tot_(g),Folic_Acid_(g),Food_Folate_(g),Folate_DFE_(g),Choline_Tot_ (g),Vit_B12_(g),Retinol_(g),Alpha_Carot_(g),Beta_Carot_(g),Beta_Crypt_(g),Lycopene_(g),Lut+Zea_ (g),Vit_E_(g),Vit_D_g,Vit_K_(g),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(g),Vit_A_(g)
FAST FD,42.41,282,11.495,12.465,2.57,30.91,2.3,3.29,0.166,0.00243,0.0235,0.2125,0.1925,0.6605,0.001345,1.06E-04,3.52E-04,1.99E-05,0.0013,3.55E-04,1.98E-04,0.003535,4.50E-04,8.00E-05,9.20E-05,5.40E-05,3.80E-05,1.30E-04,0.02325,4.95E-07,6.10E-05,0,9.25E-05,0,0.0018995,2.35E-05,8.70E-04,0,8.90E-06,5.0625,3.759,2.552,0.0245,1.09E-04
FAST FDS,57.5,217.5,16.42,10.1,1.495,14.7,1.1,3.345,0.065,0.00285,0.021,0.1365,0.1995,0.416,0.00201,7.35E-05,1.69E-04,1.90E-05,0.00145,2.44E-04,1.75E-04,0.00552,2.79E-04,2.30E-04,3.30E-05,2.40E-05,9.00E-06,4.95E-05,0.0458,1.07E-06,5.00E-06,9.00E-06,6.50E-05,5.00E-07,2.12E-04,4.60E-05,2.20E-04,1.00E-07,7.95E-06,3.734,3.794,2.069,0.0445,4.04E-05
FAST FOODS,50.05,264,12.12,13.9,2.12,21.53,1.2,3.12,0.093,0.00184,0.021,0.159,0.205,0.55,0.00119,8.20E-05,1.96E-04,1.82E-05,4.00E-04,1.90E-04,2.28E-04,0.003445,4.67E-04,1.40E-04,4.50E-05,2.50E-05,1.60E-05,6.20E-05,0.0325,5.90E-07,1.60E-05,0,2.40E-05,0,0,3.80E-05,5.45E-04,1.00E-07,4.70E-06,4.24,5.073,1.741,0.04,3.24E-05
FAT,0.2,900,0,99.8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-07,0,0,0,0,0,0,0,0,0,0,0.1224,0,0,0,0,0,0,0,0.0027,4.80E-06,0,31.5,43.8,11.95,0.101,0
FAT FREE ICE CRM,65.52,129,4.41,0,1.2,27.94,7.4,8.82,0.147,0,0.009,0.075,0.196,0.11,3.10E-04,3.00E-05,0,1.90E-06,0,2.90E-05,1.22E-04,7.40E-05,0,2.90E-05,4.00E-06,0,4.00E-06,4.00E-06,0.023,5.20E-07,1.32E-04,0,1.20E-05,0,0,0,0,0,0,0,0,0,0,1.38E-04
FEIJOA,83.28,61,0.71,0.42,0.38,15.21,6.4,8.2,0.017,1.40E-04,0.009,0.019,0.172,0.003,6.00E-05,3.60E-05,8.40E-05,0,0.0329,6.00E-06,1.80E-05,2.95E-04,2.33E-04,6.70E-05,2.30E-05,0,2.30E-05,2.30E-05,0,0,0,0,2.00E-06,3.00E-06,5.00E-06,2.70E-05,1.60E-04,0,3.50E-06,0.104,0.056,0.136,0,1.80E-06
FENNEL,90.21,31,1.24,0.2,1.05,7.3,3.1,3.93,0.049,7.30E-04,0.017,0.05,0.414,0.052,2.00E-04,6.60E-05,1.91E-04,7.00E-07,0.012,1.00E-05,3.20E-05,6.40E-04,2.32E-04,4.70E-05,2.70E-05,0,2.70E-05,2.70E-05,0.0132,0,0,0,5.78E-04,0,0,6.07E-04,5.80E-04,0,6.28E-05,0.09,0.068,0.169,0,2.89E-04
FIDDLEHEAD FERNS,88.795,34,4.43,0.375,0.76,5.64,0,0,0.028,0.00102,0.0265,0.0795,0.2495,5.00E-04,7.70E-04,2.70E-04,7.25E-04,0,0.0222,1.70E-05,1.70E-04,0.00412,0,0,0,0,0,0,0,0,0,2.70E-04,0.001955,0,0,0,0,0,0,0,0,0,0,0.00104505
FIGS,76.33,88,0.4,0.1,0.3,22.9,2.55,18.48,0.028,2.90E-04,0.01,0.01,0.103,0.001,1.20E-04,1.08E-04,8.80E-05,2.00E-07,0.001,2.20E-05,3.80E-05,4.37E-04,6.90E-05,8.80E-05,2.00E-06,0,2.00E-06,2.00E-06,0.005,0,0,0,2.20E-05,0,0,1.00E-05,1.15E-04,0,5.00E-06,0.02,0.022,0.048,0,1.11E-05
FIREWEED,78.99,73.5,3.855,1.775,2.62,12.76,8.3,0,0.221,0.00225,0.156,0.137,0.3725,0.042,0.00266,3.20E-04,0.006704,9.00E-07,0.0506,3.65E-05,4.99E-04,0.003037,0.001356,6.32E-04,1.12E-04,0,1.12E-04,1.12E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013977
